Nodes: 301, Area: 100000, Total Time: 733, Terrain Creation: 100, Node LOS Calculations: 633
Nodes: 301, Area: 100000, Total Time: 725, Terrain Creation: 94, Node LOS Calculations: 631
Nodes: 301, Area: 100000, Total Time: 757, Terrain Creation: 93, Node LOS Calculations: 664
Nodes: 301, Area: 100000, Total Time: 725, Terrain Creation: 95, Node LOS Calculations: 630
Nodes: 301, Area: 100000, Total Time: 729, Terrain Creation: 100, Node LOS Calculations: 629
Nodes: 301, Area: 100000, Total Time: 762, Terrain Creation: 119, Node LOS Calculations: 643
Nodes: 301, Area: 100000, Total Time: 781, Terrain Creation: 108, Node LOS Calculations: 673
Nodes: 301, Area: 100000, Total Time: 754, Terrain Creation: 114, Node LOS Calculations: 640
Nodes: 301, Area: 100000, Total Time: 735, Terrain Creation: 99, Node LOS Calculations: 636
Nodes: 301, Area: 100000, Total Time: 764, Terrain Creation: 104, Node LOS Calculations: 660
Nodes: 401, Area: 100000, Total Time: 946, Terrain Creation: 106, Node LOS Calculations: 840
Nodes: 401, Area: 100000, Total Time: 962, Terrain Creation: 102, Node LOS Calculations: 860
Nodes: 401, Area: 100000, Total Time: 925, Terrain Creation: 93, Node LOS Calculations: 832
Nodes: 401, Area: 100000, Total Time: 955, Terrain Creation: 104, Node LOS Calculations: 851
Nodes: 401, Area: 100000, Total Time: 955, Terrain Creation: 104, Node LOS Calculations: 851
Nodes: 401, Area: 100000, Total Time: 921, Terrain Creation: 92, Node LOS Calculations: 829
Nodes: 401, Area: 100000, Total Time: 969, Terrain Creation: 104, Node LOS Calculations: 865
Nodes: 401, Area: 100000, Total Time: 942, Terrain Creation: 102, Node LOS Calculations: 840
Nodes: 401, Area: 100000, Total Time: 945, Terrain Creation: 96, Node LOS Calculations: 849
Nodes: 401, Area: 100000, Total Time: 935, Terrain Creation: 98, Node LOS Calculations: 837
Nodes: 401, Area: 100000, Total Time: 921, Terrain Creation: 104, Node LOS Calculations: 817
Nodes: 401, Area: 100000, Total Time: 969, Terrain Creation: 111, Node LOS Calculations: 858
Nodes: 401, Area: 100000, Total Time: 917, Terrain Creation: 103, Node LOS Calculations: 814
Nodes: 401, Area: 100000, Total Time: 948, Terrain Creation: 101, Node LOS Calculations: 847
Nodes: 401, Area: 100000, Total Time: 971, Terrain Creation: 126, Node LOS Calculations: 845
Nodes: 401, Area: 100000, Total Time: 968, Terrain Creation: 98, Node LOS Calculations: 870
Nodes: 401, Area: 100000, Total Time: 951, Terrain Creation: 101, Node LOS Calculations: 850
