Time 33.98s, nodes: 50, transmission: 10000, radiomedium: UDGM, acv: 9.2299309931%
Time 36.79s, nodes: 50, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 36.17s, nodes: 50, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 34.84s, nodes: 50, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 36.7s, nodes: 50, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 36.05s, nodes: 50, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 33.83s, nodes: 50, transmission: 10000, radiomedium: UDGM, acv: 89.5129752975%
Time 38.34s, nodes: 50, transmission: 10000, radiomedium: UDGM, acv: 89.5129752975%
Time 33.72s, nodes: 50, transmission: 10000, radiomedium: UDGM, acv: 89.5129752975%
Time 40.72s, nodes: 50, transmission: 10000, radiomedium: UDGM, acv: 89.5129752975%
Time 40.59s, nodes: 50, transmission: 10000, radiomedium: UDGM, acv: 89.5129752975%
Time 61.86s, nodes: 100, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 50.09s, nodes: 100, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 51.76s, nodes: 100, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 47.98s, nodes: 100, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 50.03s, nodes: 100, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 50.27s, nodes: 100, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 49.53s, nodes: 100, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 52.12s, nodes: 100, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 49.92s, nodes: 100, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 53.66s, nodes: 100, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 47.89s, nodes: 100, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 54.89s, nodes: 100, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 53.78s, nodes: 100, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 47.86s, nodes: 100, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 50.39s, nodes: 100, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 54.43s, nodes: 100, transmission: 1, radiomedium: UDGM, acv: 89.5129752975%
Time 51.35s, nodes: 100, transmission: 1, radiomedium: UDGM, acv: 89.5129752975%
Time 47.69s, nodes: 100, transmission: 1, radiomedium: UDGM, acv: 89.5129752975%
Time 53.37s, nodes: 100, transmission: 1, radiomedium: UDGM, acv: 89.5129752975%
Time 51.6s, nodes: 100, transmission: 1, radiomedium: UDGM, acv: 89.5129752975%
Time 41.45s, nodes: 100, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 45.01s, nodes: 100, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 38.21s, nodes: 100, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 39.78s, nodes: 100, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 41.62s, nodes: 100, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 41.79s, nodes: 100, transmission: 10000, radiomedium: UDGM, acv: 9.2299309931%
Time 40.28s, nodes: 100, transmission: 10000, radiomedium: UDGM, acv: 9.2299309931%
Time 40.46s, nodes: 100, transmission: 10000, radiomedium: UDGM, acv: 9.2299309931%
Time 38.58s, nodes: 100, transmission: 10000, radiomedium: UDGM, acv: 9.2299309931%
Time 41.99s, nodes: 100, transmission: 10000, radiomedium: UDGM, acv: 9.2299309931%
Time 38.34s, nodes: 100, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 41.07s, nodes: 100, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 41.48s, nodes: 100, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 40.88s, nodes: 100, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 39.84s, nodes: 100, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 38.07s, nodes: 100, transmission: 10000, radiomedium: UDGM, acv: 89.5129752975%
Time 39.35s, nodes: 100, transmission: 10000, radiomedium: UDGM, acv: 89.5129752975%
Time 37.27s, nodes: 100, transmission: 10000, radiomedium: UDGM, acv: 89.5129752975%
Time 37.83s, nodes: 100, transmission: 10000, radiomedium: UDGM, acv: 89.5129752975%
Time 40.22s, nodes: 100, transmission: 10000, radiomedium: UDGM, acv: 89.5129752975%
