Time 5.05s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 4.94s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 4.99s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 4.98s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 4.97s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 4.98s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 4.99s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 5.01s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 5.0s, nodes: 2, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 5.05s, nodes: 2, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 5.06s, nodes: 2, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 4.95s, nodes: 2, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 5.07s, nodes: 2, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 4.97s, nodes: 2, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 4.95s, nodes: 2, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 5.03s, nodes: 2, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 4.88s, nodes: 2, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 4.96s, nodes: 2, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 5.01s, nodes: 2, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 5.23s, nodes: 2, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 5.36s, nodes: 2, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 5.42s, nodes: 2, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 5.45s, nodes: 2, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 5.35s, nodes: 2, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 5.36s, nodes: 2, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 5.34s, nodes: 2, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 5.36s, nodes: 2, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 5.33s, nodes: 2, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
